Date	Weather
08-20-2021	sunny
10-04-2021	rain
10-08-2021	sunny
11-19-2021	sunny
11-22-2021	cloud
11-23-2021	cloud
11-29-2021	snow
11-30-2021	cloud
12-01-2021	cloud
12-02-2021	night
12-03-2021	sunny
12-06-2021	cloud
12-07-2021	cloud
12-08-2021	rain
12-09-2021	night
12-13-2021	sunny
12-14-2021	sunny
12-15-2021	rain
12-16-2021	cloud
12-18-2021	rain
12-19-2021	rain
01-16-2022	cloud
01-17-2022	snow
01-20-2022	sunny
01-23-2022	night
02-01-2022	night
02-03-2022	snow
02-04-2022	snow
02-11-2022	sunny
02-17-2022	cloud
02-21-2022	sunny
02-22-2022	rain
02-24-2022	night
02-25-2022	snow
01-17-2022b	snow
01-17-2022c	night
02-04-2022b	night
03-03-2022b	night
12-19-2021b	rain
02-17-2022b	night
